model_row,Old_index_1,smiles,rg,asphericity,eccentricity,num_chiral_centers,num_cis_trans,rg_mw_ratio,molecular_weight,rigid_bond_ratio,rigid_bond_method
675,787,CCCCN1/C(=C\C=C\C=C\C2=[N+](CCCC)c3ccc4ccccc4c3C2(C)C)C(C)(C)c2ccc3ccccc3c21.Cc1ccc(S(=O)(=O)[O-])cc1,5.425857247071833,0.5414615026212537,0.9823982944174539,0,3,0.007341783842064726,739.0380000000002,0.2711864406779661,colleague_axial_method
676,788,CCCCOc1c(/C=C/C2=[N+](COCCOCCOC)/C(=C3\C(=O)C(c4ccc(/C=C/c5sc(/C=C/c6ccc(N(CCCC)CCCC)cc6)c(OCCCC)c5OCCCC)n4COCCOCCOC)=C3[O-])C=C2)sc(/C=C/c2ccc(N(CCCC)CCCC)cc2)c1OCCCC,5.5553854764728205,0.2930484974261894,0.9385901941858199,0,5,0.003857858357654436,1440.0179999999987,0.3888888888888889,rdkit_fallback_after_AssertionError
677,789,CCCCCCn1c(/C=C/C2=[N+](COCCOCCOC)/C(=C3\C(=O)C(c4ccc(/C=C/c5ccc(/C=C/c6ccc(N(CCCC)CCCC)cc6)n5CCCCCC)n4COCCOCCOC)=C3[O-])C=C2)ccc1/C=C/c1ccc(N(CCCC)CCCC)cc1,11.996794601842236,0.7189845379681055,0.994506897597142,0,5,0.009330145668366435,1285.809999999999,0.42,rdkit_fallback_after_AssertionError
678,790,COCCOCCOCn1c(/C=N/N(c2ccccc2)c2ccccc2)ccc1C1=C([O-])/C(=C2\C=CC(/C=N/N(c3ccccc3)c3ccccc3)=[N+]2COCCOCCOC)C1=O,11.24179101514153,0.7514602368384461,0.9958129558467875,0,3,0.012996290190915067,864.9999999999998,0.2,colleague_axial_method
679,791,CCCCCCCCCCC1(CCCCCCCCCC)c2cc(-c3nc4ccccc4s3)ccc2-c2ccc(N3C(=O)c4ccc5c6ccc7c8c(ccc(c9ccc(c4c59)C3=O)c86)C(=O)N(c3ccc4c(c3)C(CCCCCCCCCC)(CCCCCCCCCC)c3cc(-c5nc6ccccc6s5)ccc3-4)C7=O)cc21,6.79613132612515,0.5325531315391656,0.9807098162634851,0,0,0.0043953823029942805,1546.1979999999999,0.13846153846153847,colleague_axial_method
680,792,CCCCCCCCCCC1(CCCCCCCCCC)c2cc(N3C(=O)c4ccc5c6ccc7c8c(ccc(c9ccc(c4c59)C3=O)c86)C(=O)N(c3ccc4c(c3)C(CCCCCCCCCC)(CCCCCCCCCC)c3cc(N(c5ccccc5)c5ccccc5)ccc3-4)C7=O)ccc2-c2ccc(N(c3ccccc3)c3ccccc3)cc21,12.068865042703042,0.5629219320979213,0.9844220832421796,0,0,0.007476360858284582,1614.2699999999986,0.6521739130434783,rdkit_fallback_after_AssertionError
681,793,CCCCC1(CCCC)c2cc(-c3cccc(-c4nnc(-c5ccc(C(C)(C)C)cc5)n4-c4ccccc4)c3)ccc2-c2ccc(-c3ccc4c(c3)C(CCCC)(CCCC)c3cc(N(c5ccccc5)c5ccccc5)ccc3-4)cc21,11.984061101581046,0.5441432724928245,0.9826281870045636,0,0,0.011163270476524139,1073.5259999999994,0.06451612903225806,colleague_axial_method
682,794,CCCCC1(CCCC)c2cc(-c3ccc(-c4nnc(-c5ccc(C(C)(C)C)cc5)n4-c4ccccc4)cc3)ccc2-c2ccc(-c3ccc4c(c3)C(CCCC)(CCCC)c3cc(-c5ccc6c(c5)C(CCCC)(CCCC)c5cc(N(c7ccccc7)c7ccccc7)ccc5-6)ccc3-4)cc21,9.018830985928963,0.6843582996815747,0.9928126522616176,0,0,0.006680867933476724,1349.948999999999,0.6837606837606838,rdkit_fallback_after_AssertionError
683,795,CCCCCCCCCCC1(CCCCCCCCCC)c2cc(-c3ccc(-c4nc5ccccc5s4)s3)ccc2-c2ccc(N(c3ccccc3)c3ccccc3)cc21,11.838568157481323,0.7775161864557106,0.9966996831572026,0,0,0.014275787744347264,829.2760000000001,0.6268656716417911,rdkit_fallback_after_AssertionError
684,796,C#Cc1ccc(NS(=O)(=O)c2cccc3c(N(C)C)cccc23)cc1,7.545135878318101,0.2100303564040763,0.8917797980451001,0,0,0.021530279898066447,350.44300000000004,0.1111111111111111,colleague_axial_method
685,797,CN(C)c1ccc(/C=C/c2cc(/C=C/c3ccc(N(C)C)cc3)nc(-n3cccn3)n2)cc1,3.2321191325813037,0.12294238183873615,0.8466697571878641,0,2,0.0074035571786461585,436.5630000000001,0.05555555555555555,colleague_axial_method
686,798,CN(C)c1ccc(/C=C/c2cc(/C=C/c3ccc(N(C)C)cc3)nc(-n3ccnc3)n2)cc1,6.2951633069891795,0.6304052145582216,0.9895945718549438,0,2,0.01441982785299986,436.5630000000001,0.05555555555555555,colleague_axial_method
687,799,CCCCCCCCCCCC(=O)c1ccc2cc(N(C)C)ccc2c1,6.2998441362512265,0.6232974088909324,0.9891029024190802,0,0,0.01781882091995821,353.55000000000007,0.037037037037037035,colleague_axial_method
688,800,CCCCCCCCCCCC(=O)c1ccc2cc(N(C)CC(=O)O)ccc2c1,6.950770068148555,0.9256814935356266,0.9996768873895535,0,0,0.01748361895504454,397.55900000000014,0.06666666666666667,colleague_axial_method
689,801,CCCCCCCCCC(=O)/C=C/c1ccc2cc(N(C)CC(=O)O)ccc2c1,7.414708132936516,0.9317502555222522,0.9997285463128084,0,1,0.018745643666899712,395.5430000000002,0.1,colleague_axial_method
690,802,CC(=O)c1ccc2cc(N(C)CC(=O)NCCCN(C)C)ccc2c1,7.194614272787034,0.8346540055676651,0.9982856454766901,0,0,0.02107046103523754,341.455,0.07692307692307693,colleague_axial_method
691,803,c1ccc(N(c2ccccc2)c2ccc(-c3cc(-c4ccccn4)nc(-c4ccccn4)c3)cc2)cc1,3.6925530891206395,0.2349440238850729,0.9154641475044735,0,0,0.007747974831499737,476.5830000000001,0.0,colleague_axial_method
692,804,O=[N+]([O-])c1ccc(N(c2ccccc2)c2ccc(-c3cc(-c4ccccn4)nc(-c4ccccn4)c3)cc2)cc1,5.438328613725341,0.40139539869265733,0.9635349212964623,0,0,0.010426643302514166,521.5800000000003,0.022222222222222223,colleague_axial_method
693,805,CCOc1ccc(N(c2ccc(-c3cc(-c4ccccn4)nc(-c4ccccn4)c3)cc2)c2ccc([N+](=O)[O-])cc2)cc1,5.780652112832866,0.38565138916100455,0.9592261653912425,0,0,0.010219792891915543,565.6330000000002,0.020833333333333332,colleague_axial_method
694,806,COC(=O)c1ccc(N(c2ccc(C(=O)OC)cc2)c2ccc(-c3cc(-c4ccccn4)nc(-c4ccccn4)c3)cc2)cc1,6.070848850756599,0.2989176943602585,0.9394792572210596,0,0,0.010243478669304397,592.6550000000002,0.04,colleague_axial_method
695,807,CCOc1ccc(N(c2ccc(OCC)cc2)c2ccc(-c3cc(-c4ccccn4)nc(-c4ccccn4)c3)cc2)cc1,6.258283977830658,0.2790481501134087,0.9340421670165047,0,0,0.011082709204235704,564.6890000000002,0.0,colleague_axial_method
696,808,Nc1ccc(N(c2ccccc2)c2ccc(-c3cc(-c4ccccn4)nc(-c4ccccn4)c3)cc2)cc1,6.163535232726801,0.3173716387369977,0.9454048499792351,0,0,0.012537754898772572,491.5980000000002,0.0,colleague_axial_method
