样本索引,基线值,Conju-Max-Distance_SHAP,Wavelength_SHAP,ET(30)_SHAP,PEOE-Charge_SHAP,Atomic-LogP_SHAP,Atomic-MR_SHAP,rg_SHAP,SHAP总和,重建预测值,模型预测值,误差
46,5.997935,0.03514765,0.49373215,0.23903356,0.4093671,0.112852775,0.7300311,0.19094056,2.211105,8.20904,8.209046,6.67572e-06
47,5.997935,0.56976646,0.4770336,0.22896348,0.2904494,0.13047503,0.67441684,0.51417464,2.8852794,8.883214,8.883212,1.9073486e-06
48,5.997935,0.6961525,0.84243715,0.28494197,0.4567387,0.29409087,0.20115067,0.29782084,3.0733328,9.071268,9.071262,5.722046e-06
49,5.997935,0.65795904,1.2221664,0.2713724,0.25452116,0.32343212,0.09906778,0.41463077,3.2431498,9.241085,9.24107,1.5258789e-05
50,5.997935,-0.24918981,0.07121675,0.7671677,0.7893522,0.3242953,0.6346489,0.33331183,2.6708028,8.668737,8.6687355,1.9073486e-06
51,5.997935,-0.2293123,0.5351922,0.957034,0.77956754,0.25195873,0.12505631,0.15690675,2.5764034,8.574338,8.574334,3.8146973e-06
52,5.997935,0.010942079,-0.24274975,0.030343566,-0.08291325,-0.34744966,-0.12156944,-0.05206324,-0.8054597,5.1924753,5.192475,4.7683716e-07
53,5.997935,0.37940848,0.23843984,0.038292196,-0.008787413,-0.19980352,0.04644525,-0.05961639,0.43437845,6.4323134,6.432309,4.2915344e-06
54,5.997935,0.97451216,0.1313214,0.11122584,-0.0088554565,-0.17648174,-0.012626718,0.20428458,1.22338,7.221315,7.2213125,2.3841858e-06
55,5.997935,-0.026493672,-0.33968216,-0.025906242,-0.7136019,0.07735469,-0.057190653,-0.4035321,-1.489052,4.5088825,4.50888,2.3841858e-06
56,5.997935,-0.8007364,-0.36256137,-0.08722161,-0.44017553,0.11330477,-0.23413277,-0.2110984,-2.0226214,3.9753134,3.975312,1.4305115e-06
57,5.997935,-0.79257774,-0.18894626,-0.13372122,-0.2957089,-0.8183452,-0.45770755,-0.5844377,-3.2714448,2.72649,2.726491,9.536743e-07
58,5.997935,-0.8086459,-0.1149049,-0.07487531,-0.5249211,-0.9962058,-0.38637725,-0.09084296,-2.9967732,3.0011616,3.0011642,2.6226044e-06
59,5.997935,-0.7688692,-0.22465211,-0.15216573,-0.54740775,-1.09004,-0.3732003,-0.19757038,-3.3539057,2.6440291,2.6440306,1.4305115e-06
60,5.997935,-0.7726341,-0.15345562,-0.07835855,-0.11685431,-0.9481305,-0.32450113,-0.28372654,-2.6776607,3.320274,3.3202744,2.3841858e-07
61,5.997935,-0.78569573,-0.20563242,-0.15061037,-0.28381002,-0.9293771,-0.44408646,-0.45363975,-3.2528517,2.745083,2.745082,1.1920929e-06
62,5.997935,-0.8704729,-0.3119462,-0.108282566,-0.5750026,-1.0414348,-0.4532517,-0.45541278,-3.8158035,2.1821313,2.182132,7.1525574e-07
