model,seed,n_features,MSE_ln,MAE_ln,MSE_lg,MAE_lg,R2
M0_原始6特征,126,6,1.0204891040726456,0.6888669182397653,0.19247618170100314,0.2991711013572286,0.6445763999752483
M0_原始6特征,127,6,1.0587481424629324,0.755085125012948,0.1996922838578276,0.32792930316035035,0.5457726521562598
M0_原始6特征,128,6,1.1658703399530321,0.7677691531899947,0.21989678331404858,0.33343790660594713,0.6543359395920137
M0_原始6特征,129,6,1.1191684457700215,0.7959554560949189,0.21108825979853413,0.34567906242280927,0.510571058794164
M0_原始6特征,130,6,1.10788256471759,0.7548204472157177,0.2089596106209638,0.32781435505353096,0.5971160553804498
M0_原始6特征,131,6,1.1089101695803145,0.7991700733014651,0.20915342891797964,0.3470751529370435,0.5882947337983655
M0_原始6特征,132,6,1.4341828009249817,0.8727681272804546,0.2705036519073304,0.37903838165893633,0.5162379324296078
M0_原始6特征,133,6,1.022656284143447,0.7760426443573504,0.19288493721188674,0.337031038166005,0.5944979006954321
M0_原始6特征,134,6,1.212434852235441,0.8243513535313549,0.22867939499615184,0.35801124398814416,0.6060674890795299
M0_原始6特征,135,6,0.9629002387273554,0.7488917072770052,0.18161424807925464,0.32523953601350863,0.6786666708965803
M0_原始6特征,136,6,1.0096020456058432,0.7396158062513408,0.19042275512811488,0.3212110633833819,0.678623901215258
M0_原始6特征,137,6,0.9426269256883946,0.7266042383274394,0.17779046410292856,0.31556021123312217,0.6550702052596629
M0_原始6特征,138,6,0.9498828982225942,0.7921949731255884,0.1791590253960736,0.3440459054199379,0.6382434142491787
M0_原始6特征,139,6,1.1467123661630874,0.8117919496539059,0.21628336536622306,0.3525567641881737,0.5581321026271526
M0_原始6特征,140,6,1.0948064879996953,0.7793259780076809,0.2064933096009476,0.33845697185259077,0.559096212281654
M0_原始6特征,141,6,0.9431888415093906,0.7120843445395235,0.1778964479995043,0.309254301483209,0.6109438015535245
M0_原始6特征,142,6,0.9863359133952423,0.7397134417977609,0.18603449044897688,0.32125346596242976,0.5873181663717585
M0_原始6特征,143,6,1.3147190549072925,0.7956303797505655,0.2479713920395696,0.34553788356025933,0.5622465708350517
M0_原始6特征,144,6,1.4301777048661735,0.9116546103354406,0.269748243942984,0.39592656667034104,0.46500015058270017
