Num-Conju-Stru,Conju-Num-Atom-All,Conju-Num-Atom-Ratio,Conju-Wt-Ave,Full-Mol Wiener Index,Conju-Num-Atom-Individual,Conju-Wt-Part,Conju-Wt-Ave.1,Conju-Max-Distance,Conju-Branch-Ratio,Conju-Stru-Wiener-Index,Conju-Stru-VSA,Apperant-Elec-Count-Sum,Apperant-Elec-Count-Ave,Apperant-Elec-Count-Max,Apperant-Elec-Count-Min,Apperant-Elec-Count-Delta,Apperant-Elec-Count-Weighted,Apperant-Elec-Count-Weighted-Ave,Apperant-Elec-Count-PositiveDisCoef,Apperant-Elec-Count-PositiveDisCoef-PairMean,Apperant-Elec-Count-NegativeDisCoef,Apperant-Elec-Count-NegativeDisCoef-PairMean,Apperant-Elec-Count-GradSum,Apperant-Elec-Count-GradSum-PairMean,Apperant-Elec-Count-MaxMinDisRatio,Apperant-Elec-Count-LaplaceSum,Apperant-Elec-Count-Laplace-PairMean,PEOE-Charge-Sum,PEOE-Charge-Ave,PEOE-Charge-Max,PEOE-Charge-Min,PEOE-Charge-Delta,PEOE-Charge-Weighted,PEOE-Charge-Weighted-Ave,PEOE-Charge-PositiveDisCoef,PEOE-Charge-PositiveDisCoef-PairMean,PEOE-Charge-NegativeDisCoef,PEOE-Charge-NegativeDisCoef-PairMean,PEOE-Charge-GradSum,PEOE-Charge-GradSum-PairMean,PEOE-Charge-MaxMinDisRatio,PEOE-Charge-LaplaceSum,PEOE-Charge-Laplace-PairMean,EState-Indice-Sum,EState-Indice-Ave,EState-Indice-Max,EState-Indice-Min,EState-Indice-Delta,EState-Indice-Weighted,EState-Indice-Weighted-Ave,EState-Indice-PositiveDisCoef,EState-Indice-PositiveDisCoef-PairMean,EState-Indice-NegativeDisCoef,EState-Indice-NegativeDisCoef-PairMean,EState-Indice-GradSum,EState-Indice-GradSum-PairMean,EState-Indice-MaxMinDisRatio,EState-Indice-LaplaceSum,EState-Indice-Laplace-PairMean,Atomic-LogP-Sum,Atomic-LogP-Ave,Atomic-LogP-Max,Atomic-LogP-Min,Atomic-LogP-Delta,Atomic-LogP-Weighted,Atomic-LogP-Weighted-Ave,Atomic-LogP-PositiveDisCoef,Atomic-LogP-PositiveDisCoef-PairMean,Atomic-LogP-NegativeDisCoef,Atomic-LogP-NegativeDisCoef-PairMean,Atomic-LogP-GradSum,Atomic-LogP-GradSum-PairMean,Atomic-LogP-MaxMinDisRatio,Atomic-LogP-LaplaceSum,Atomic-LogP-Laplace-PairMean,Atomic-MR-Sum,Atomic-MR-Ave,Atomic-MR-Max,Atomic-MR-Min,Atomic-MR-Delta,Atomic-MR-Weighted,Atomic-MR-Weighted-Ave,Atomic-MR-PositiveDisCoef,Atomic-MR-PositiveDisCoef-PairMean,Atomic-MR-NegativeDisCoef,Atomic-MR-NegativeDisCoef-PairMean,Atomic-MR-GradSum,Atomic-MR-GradSum-PairMean,Atomic-MR-MaxMinDisRatio,Atomic-MR-LaplaceSum,Atomic-MR-Laplace-PairMean,ET(30) (Solvent),Wavelength (Exp nm),values_ln
3,31,0.837837838,0.795596666,3.498498498,25,306.263,14.66966667,11,0.0,2.44,350.903333,25,1.0,13,2,11,58,2.32,1464,4.88,92.93459596,0.309781987,0.0,0.0,0.727272727,0.0,0.0,-1.292863805,-0.051714552,0.01897249,-0.698346742,0.717319232,-2.963987264,-0.118559491,4.701461133,0.015671537,0.107257563,0.000357525,7.494161372,0.024980538,0.818181818,3.805489302,0.012684964,46.30768135,1.852307254,20.61780266,2.382537575,18.23526508,101.1255072,4.045020289,5266.090487,17.55363496,297.0716144,0.990238715,78.12604651,0.260420155,0.727272727,41.78564428,0.139285481,3.3676,0.134704,2.4957,-0.0077,2.5034,8.3791,0.335164,17.39157188,0.057971906,1.906005503,0.006353352,15.26850433,0.050895014,0.909090909,7.792380104,0.0259746,84.964,3.39856,45.952,6.886,39.066,200.238,8.00952,16427.67179,54.75890597,1100.377881,3.667926271,42.35403077,0.141180103,0.727272727,22.41372352,0.074712412,63.1,720,4.65396035
3,31,0.837837838,0.795596666,3.498498498,25,306.263,14.66966667,11,0.0,2.44,350.903333,25,1.0,13,2,11,58,2.32,1464,4.88,92.93459596,0.309781987,0.0,0.0,0.727272727,0.0,0.0,-1.295913268,-0.051836531,-0.023913527,-0.701442645,0.677529118,-3.003629136,-0.120145165,5.11345571,0.017044852,0.106870938,0.000356236,6.941585882,0.02313862,0.909090909,3.556529968,0.0118551,46.29111402,1.851644561,20.78891377,2.388648686,18.40026508,101.289317,4.05157268,5394.364176,17.98121392,295.0747837,0.983582612,73.72722711,0.245757424,0.727272727,39.96612354,0.133220412,3.3676,0.134704,2.4957,-0.0077,2.5034,8.3791,0.335164,14.59500788,0.048650026,2.01102593,0.00670342,14.8476759,0.049492253,0.909090909,7.628745772,0.025429153,84.964,3.39856,45.952,6.886,39.066,200.238,8.00952,16276.10824,54.25369413,1104.505367,3.681684555,41.32928936,0.137764298,0.727272727,22.01970533,0.073399018,63.1,700,4.543294782
2,24,0.827586207,0.804409992,3.418719212,18,270.274,15.01522222,11,0.0,2.140522876,276.0367366,19,1.055555556,11,2,9,43,2.388888889,760,4.967320261,59.3044733,0.387610937,4.208369408,0.027505682,0.545454545,1.904596977,0.012448346,-0.902607511,-0.050144862,0.610773072,-0.6284292,1.239202272,-1.10237299,-0.061242944,1.957312865,0.012792895,-0.217051995,-0.00141864,12.35611957,0.080758951,0.636363636,7.100180845,0.046406411,45.67988866,2.537771592,27.27298604,1.71987408,25.55311196,78.92556318,4.38475351,4301.784816,28.11624063,261.0701413,1.706340793,145.2735218,0.949500142,0.454545455,77.6571715,0.507563212,1.1047,0.061372222,1.6853,-0.9879,2.6732,1.0286,0.057144444,1.05833752,0.006917239,-0.683303794,-0.004466038,23.91476484,0.156305653,0.818181818,13.73318571,0.089759384,69.634,3.868555556,38.675,6.27,32.405,155.771,8.653944444,10586.54379,69.19309667,777.1968373,5.079717891,83.05167009,0.542821373,0.454545455,42.42707531,0.277301146,45.1,700,5.616771098
1,20,0.833333333,0.7860907,2.815217391,20,254.184,12.7092,12,0.0,2.35,305.0342376,20,1.0,15,2,13,44,2.2,893,4.7,63.54296537,0.33443666,0.0,0.0,0.416666667,0.0,0.0,-0.864990598,-0.04324953,0.386268119,-0.712504849,1.098772968,-0.997409773,-0.049870489,2.329654468,0.012261339,-0.031419607,-0.000165366,8.642905961,0.045488979,0.916666667,4.511223844,0.023743283,52.36851724,2.618425862,30.43051515,-0.478200551,30.90871571,78.35728068,3.917864034,7135.10771,37.55319847,288.886817,1.520456932,156.7675536,0.825092387,0.583333333,75.37365506,0.396703448,2.28698,0.114349,2.54348,-0.3061,2.84958,5.16628,0.258314,6.707850744,0.035304478,0.812052158,0.004273959,12.7927578,0.067330304,0.833333333,6.949809919,0.036577947,65.9884,3.29942,52.108,3.6274,48.4806,146.0542,7.30271,9299.724958,48.94592083,709.7568354,3.735562292,52.36721225,0.275616907,0.833333333,29.4120935,0.154800492,43.2,710,6.952613915
1,20,0.8,0.753407888,2.89,20,254.184,12.7092,12,0.0,2.35,305.0342376,20,1.0,15,2,13,44,2.2,893,4.7,63.54296537,0.33443666,0.0,0.0,0.416666667,0.0,0.0,-0.861935872,-0.043096794,0.386268119,-0.709450123,1.095718242,-0.98826576,-0.049413288,2.315867382,0.012188776,-0.031753688,-0.000167125,8.63155703,0.045429248,0.916666667,4.506590353,0.023718897,52.77606655,2.638803327,30.52661155,-0.473742135,31.00035368,79.26257855,3.963128927,7272.410333,38.27584386,293.4437111,1.544440585,157.6727911,0.829856795,0.583333333,75.8067039,0.398982652,2.28698,0.114349,2.54348,-0.3061,2.84958,5.16628,0.258314,6.707850744,0.035304478,0.812052158,0.004273959,12.7927578,0.067330304,0.833333333,6.949809919,0.036577947,65.9884,3.29942,52.108,3.6274,48.4806,146.0542,7.30271,9299.724958,48.94592083,709.7568354,3.735562292,52.36721225,0.275616907,0.833333333,29.4120935,0.154800492,43.2,710,8.281756893
1,20,0.769230769,0.719297749,2.983076923,20,254.184,12.7092,12,0.0,2.35,305.0342376,20,1.0,15,2,13,44,2.2,893,4.7,63.54296537,0.33443666,0.0,0.0,0.416666667,0.0,0.0,-0.859259828,-0.042962991,0.386268119,-0.706774079,1.093042199,-0.980240797,-0.04901204,2.303772532,0.012125119,-0.031982181,-0.000168327,8.620324024,0.045370126,0.916666667,4.501766781,0.023693509,51.82518399,2.5912592,30.24975991,-0.508119157,30.75787907,76.84804205,3.842402102,6964.423244,36.65485918,281.1585891,1.479782048,157.5642341,0.829285443,0.583333333,75.82630984,0.399085841,2.28698,0.114349,2.54348,-0.3061,2.84958,5.16628,0.258314,6.707850744,0.035304478,0.812052158,0.004273959,12.7927578,0.067330304,0.833333333,6.949809919,0.036577947,65.9884,3.29942,52.108,3.6274,48.4806,146.0542,7.30271,9299.724958,48.94592083,709.7568354,3.735562292,52.36721225,0.275616907,0.833333333,29.4120935,0.154800492,43.2,740,8.933516469
1,18,0.818181818,0.757357603,2.606060606,18,222.186,12.34366667,11,0.0,2.133986928,278.3702418,18,1.0,15,2,13,40,2.222222222,653,4.267973856,54.71194084,0.357594385,0.0,0.0,0.454545455,0.0,0.0,-1.166876147,-0.064826453,0.159583349,-0.722440193,0.882023542,-2.019140014,-0.112174445,3.820947,0.02497351,0.064139184,0.00041921,6.12757734,0.040049525,0.636363636,3.17988858,0.020783585,40.2474346,2.235968589,31.93285118,1.439479514,30.49337167,71.55882505,3.975490281,3560.181562,23.26916053,216.3953601,1.414348759,82.5956392,0.539840779,0.545454545,42.48834809,0.277701621,1.53258,0.085143333,2.54348,-0.5651,3.10858,5.09108,0.282837778,-2.23133416,-0.014583883,0.134241399,0.000877395,13.84588363,0.090495971,0.818181818,7.212330487,0.047139415,61.821,3.4345,52.108,5.613,46.495,141.366,7.853666667,7442.350648,48.64281469,667.296677,4.361416189,32.97529473,0.215524802,0.545454545,17.56158999,0.114781634,43.2,760,6.791479856
1,18,0.782608696,0.722798206,2.679841897,18,222.186,12.34366667,11,0.0,2.133986928,278.3702418,18,1.0,15,2,13,40,2.222222222,653,4.267973856,54.71194084,0.357594385,0.0,0.0,0.454545455,0.0,0.0,-1.163821421,-0.064656746,0.159583349,-0.719385467,0.878968816,-2.009996001,-0.111666444,3.800172457,0.024837728,0.063693494,0.000416297,6.11727066,0.039982161,0.636363636,3.175348543,0.020753912,40.61564151,2.256424528,32.16139559,1.446016294,30.71537929,72.41886335,4.023270186,3637.79555,23.7764415,220.1805607,1.439088632,83.36164613,0.54484736,0.545454545,42.86290848,0.280149729,1.53258,0.085143333,2.54348,-0.5651,3.10858,5.09108,0.282837778,-2.23133416,-0.014583883,0.134241399,0.000877395,13.84588363,0.090495971,0.818181818,7.212330487,0.047139415,61.821,3.4345,52.108,5.613,46.495,141.366,7.853666667,7442.350648,48.64281469,667.296677,4.361416189,32.97529473,0.215524802,0.545454545,17.56158999,0.114781634,43.2,740,6.842234943
1,18,0.75,0.687040038,2.773550725,18,222.186,12.34366667,11,0.0,2.133986928,278.3702418,18,1.0,15,2,13,40,2.222222222,653,4.267973856,54.71194084,0.357594385,0.0,0.0,0.454545455,0.0,0.0,-1.161145377,-0.064508077,0.159583349,-0.716709423,0.876292773,-2.001971038,-0.111220613,3.781908561,0.024718357,0.06336798,0.00041417,6.106961248,0.039914779,0.636363636,3.170606343,0.020722917,39.6613909,2.203410605,31.42707756,1.378043128,30.04903443,70.03141231,3.890634017,3449.69161,22.54700399,209.0671761,1.366452131,83.19017064,0.543726605,0.545454545,42.85655285,0.280108189,1.53258,0.085143333,2.54348,-0.5651,3.10858,5.09108,0.282837778,-2.23133416,-0.014583883,0.134241399,0.000877395,13.84588363,0.090495971,0.818181818,7.212330487,0.047139415,61.821,3.4345,52.108,5.613,46.495,141.366,7.853666667,7442.350648,48.64281469,667.296677,4.361416189,32.97529473,0.215524802,0.545454545,17.56158999,0.114781634,43.2,740,8.240369288
1,58,0.644444444,0.611571431,8.026092385,58,760.686,13.11527586,25,0.64,5.23200242,824.1895599,58,1.0,13,2,11,134,2.310344828,17297,10.46400484,287.8382683,0.174130834,0.0,0.0,0.44,0.0,0.0,-3.031807691,-0.052272546,0.205890041,-0.630010545,0.835900586,-4.844017217,-0.083517538,63.53629051,0.038436957,0.013366065,8.09e-06,38.96690237,0.023573444,0.64,15.82918226,0.009576033,127.8276928,2.203925738,23.99033238,2.89324408,21.0970883,272.3675042,4.695991452,90519.8341,54.76094017,1231.023752,0.744720963,398.622068,0.241150676,0.24,165.2123303,0.099946963,8.7546,0.150941379,3.2363,-0.1052,3.3415,22.3998,0.386203448,340.2409801,0.205832414,6.470261518,0.003914254,66.93064533,0.040490409,0.32,26.60231533,0.016093355,201.966,3.482172414,46.302,7.814,38.488,470.84,8.117931034,198638.7329,120.1686225,3635.112041,2.199099843,266.4409629,0.161186305,0.48,100.3608035,0.06071434,37.4,690,7.209340257
